"","municode","state","incumbent","vote_margin_pct","name","votes","party","cand_code","candidate_2000","win_2000"
"70",620,"RO",1,1.51734104046243,"ANTONIO DARCIO CARPANEZ DUTRA","1405","PMDB","620-antonio darcio carpanez dutra",0,0
"71",639,"RO",0,-5.15231289958631,"JOSE CICERO FERREIRA","1261","PMDB","639-jose cicero ferreira",0,0
"72",639,"RO",1,5.15231289958631,"HELIO JULIO BEZERRA","1398","PTB","639-helio julio bezerra",0,0
"73",647,"RO",0,-19.2778101339546,"NEWTON ALMEIDA SOARES","693","PSC","647-newton almeida soares",0,0
"74",647,"RO",1,19.2778101339546,"SANDI CALISTRO DE SOUSA","1024","PSDB","647-sandi calistro de sousa",1,1
"75",655,"RO",0,-11.9232526267702,"ANTONIO CANDIDO VIEIRA","964","PMDB","655-antonio candido vieira",0,0
"76",655,"RO",1,11.9232526267702,"LEIDSON FERREIRA DE SOUZA","1225","PPB","655-leidson ferreira de souza",0,0
"77",663,"RO",0,-24.0885010906825,"VANDERLEI BENTO DE MEDEIROS","1218","PFL","663-vanderlei bento de medeiros",0,0
"78",663,"RO",1,24.0885010906825,"JAIR MIOTTO","1991","PMDB","663-jair miotto",1,1
"79",671,"RO",0,-16.059379217274,"MARCELINO HELLMANN","622","PMDB","671-marcelino hellmann",1,1
"80",671,"RO",1,16.059379217274,"CLAUDIONOR CARDOSO SANTIAGO","860","PSDB","671-claudionor cardoso santiago",1,0
"81",680,"RO",0,-24.3867243867244,"ANTONIO JORGE TENORIO DA SILVA","524","PDT","680-antonio jorge tenorio da silva",0,0
"82",680,"RO",1,24.3867243867244,"JOAO BECKER","862","PT","680-joao becker",1,0
"83",698,"RO",0,-12.4698310539019,"GERALDO RONCONI","544","PT","698-geraldo ronconi",0,0
"84",698,"RO",1,12.4698310539019,"EMES SOARES MAIA","699","PMDB","698-emes soares maia",0,0
"85",701,"RO",0,-22.0796758946658,"JOSE NEPOMUCENO ALVES","577","PSDB","701-jose nepomuceno alves",0,0
"86",701,"RO",1,22.0796758946658,"DIRCEU DE OLIVEIRA","904","PFL","701-dirceu de oliveira",1,0
"87",710,"RO",0,-11.5145228215768,"VALDECI LIMA DE MORAES","853","PTB","710-valdeci lima de moraes",0,0
"88",710,"RO",1,11.5145228215768,"JOSE MENDES FERREIRA FILHO","1075","PT","710-jose mendes ferreira filho",1,1
"89",728,"RO",0,-4.13749204328453,"ARNELDO LEMKE","753","PSB","728-arneldo lemke",0,0
"90",728,"RO",1,4.13749204328453,"HELIO DE LARA","818","PMDB","728-helio de lara",1,1
"91",736,"RO",0,-7.98650168728909,"JOSE MAURO PAIVA","818","PMDB","736-jose mauro paiva",0,0
"92",736,"RO",1,7.98650168728909,"VITORIA DE FATIMA BETELLI DA SILVA","960","PSDB","736-vitoria de fatima betelli da silva",1,0
"93",744,"RO",0,-10.7947805456702,"LUIZ GOMES FURTADO","752","PMDB","744-luiz gomes furtado",0,0
"94",744,"RO",1,10.7947805456702,"ELIAS JOSE FERREIRA","934","PMN","744-elias jose ferreira",1,1
"95",752,"RO",0,-15.9459459459459,"ANTONIO ZOTESSO","622","PT","752-antonio zotesso",1,0
"96",752,"RO",1,15.9459459459459,"VALTER ARAUJO LIMA","858","PMDB","752-valter araujo lima",0,0
"97",779,"RO",0,-1.02002266717038,"ELSON DE SOUZA MONTES","1310","PDT","779-elson de souza montes",1,0
"98",779,"RO",1,1.02002266717038,"ADAIR FERREIRA DE SOUZA","1337","PMDB","779-adair ferreira de souza",1,0
"99",787,"RO",0,-29.1814946619217,"ADIBRE RODRIGUES PEREIRA","199","PMDB","787-adibre rodrigues pereira",1,0
"100",787,"RO",1,29.1814946619217,"VALDELITO DA ROCHA SILVA","363","PDT","787-valdelito da rocha silva",0,0
"101",795,"RO",0,-10.9042553191489,"JOAO DOS SANTOS PLENTZ","1005","PTB","795-joao dos santos plentz",1,1
"102",795,"RO",1,10.9042553191489,"MISAC PERES DOS REIS","1251","PMDB","795-misac peres dos reis",1,0
"103",809,"RO",0,-15.2960526315789,"VALMOR JOSE MOREIRA","515","PTB","809-valmor jose moreira",0,0
"104",809,"RO",1,15.2960526315789,"ATAIDE JOSE DA SILVA","701","PPB","809-ataide jose da silva",1,1
"105",1007,"AC",0,-2.8814359943316,"FRANCISCO IVAN ARAUJO MARCAL","1028","PPB","1007-francisco ivan araujo marcal",0,0
"106",1007,"AC",1,2.8814359943316,"JOAO EDVALDO TELES DE LIMA","1089","PMDB","1007-joao edvaldo teles de lima",0,0
"107",1015,"AC",0,-4.76190476190476,"RONALDO TESSINARI","640","PFL","1015-ronaldo tessinari",0,0
"108",1015,"AC",1,4.76190476190476,"LOURIVAL MUSTAFA DE ANDRADE","704","PPB","1015-lourival mustafa de andrade",1,1
"109",1023,"AC",0,-3.27144120247569,"PEDRO RODRIGUES LINARD","1094","PMDB","1023-pedro rodrigues linard",0,0
"110",1023,"AC",1,3.27144120247569,"JOSE RUY COELHO DE ALBUQUERQUE","1168","PFL","1023-jose ruy coelho de albuquerque",0,0
"111",1031,"AC",0,-29.6703296703297,"MISIAS NOGUEIRA DE SOUZA","128","PFL","1031-misias nogueira de souza",0,0
"112",1031,"AC",1,29.6703296703297,"MANOEL LOPES DUARTE","236","PPB","1031-manoel lopes duarte",0,0
"113",1040,"AC",0,-15.4804270462633,"JOSIMAR GOMES DE AZEVEDO","950","PPB","1040-josimar gomes de azevedo",1,0
"114",1040,"AC",1,15.4804270462633,"LEANDRO TAVARES DE ALMEIDA","1298","PMDB","1040-leandro tavares de almeida",0,0
"115",1058,"AC",0,-13.7958532695375,"FRANCISCO JOSEMAR DA SILVA","2162","PMN","1058-francisco josemar da silva",1,0
"116",1058,"AC",1,13.7958532695375,"ALDEMIR LOPES DA SILVA","2854","PMDB","1058-aldemir lopes da silva",1,0
"117",1066,"AC",0,-33.9211618257261,"FRANCISCO ANTONIO LIMA","637","PPB","1066-francisco antonio lima",0,0
"118",1066,"AC",1,33.9211618257261,"VANDERLEI MESSIAS SALES","1291","PMDB","1066-vanderlei messias sales",0,0
"119",1074,"AC",0,NA,NA,NA,NA,"1074-na",0,0
